ПластырьвеерныйTRS1;Артикул:TRS.1.N.1.;1295руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs1/
ПластырьвеерныйTRS2;Артикул:TRS.2.N.1.;1375руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs2/
ПластырьвеерныйTRS3;Артикул:TRS.3.N.1.;1619руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs3/
ПластырьвеерныйTRS4;Артикул:TRS.4.N.1.;1780руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs4/
ПластырьвеерныйTRS5;Артикул:TRS.5.N.1.;2110руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs5/
ПластырьвеерныйTRS5+;Артикул:TRS.5.P.N.1.;2350руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs5%2B/
ПластырьвеерныйTRS6;Артикул:TRS.6.N.1.;4900руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs6/
ПластырьвеерныйTRS6+;Артикул:TRS.6.P.N.1.;5640руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs6%2B/
ПластырьвеерныйTRS7;Артикул:TRS.7.N.1.;6000руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs7/
ПластырьвеерныйTRS7+;Артикул:TRS.7.P.N.1.;6870руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs7%2B/
ПластырьвеерныйTRS8;Артикул:TRS.8.N.1.;6870руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs8/
ПластырьвеерныйTRS8+;Артикул:TRS.8.P.N.1.;8330руб.за1шт;/catalog/veernye-plastyri-trs/plastyr-veernyy-trs8%2B/
